ID,Артикул,Производитель,Название,Ед. Изм.,Кол-во,Кол. Вн. склады,Цена
31150,YIS21,IEK,Изолятор DIN желтый (120шт) IEK,шт,2,9630.0,21.8
24546,MVA20-3-005-D,IEK,"Выключатель автоматический ВА47-29 3Р 5А 4,5кА D IEK",шт,2,69.0,798.66
29933,BSW10-ANCLR-3-K06,IEK,"Переключатель АNСLR-22-3 на 3 фиксированных положения ""I-O"" 1з+1р неон/240В зеленый IEK",шт,11,903.0,297.89
44122,DPP20D-DP-160,IEK,Держатель предохранителя ДП-33 габарит 0 160А IEK,шт,4,4630.0,436.75
44123,DPP30D-DP-250,IEK,Держатель предохранителя ДП-35 габарит 1 250А IEK,шт,2,6196.0,649.85
44125,DPP50D-DP-630,IEK,Держатель предохранителя ДП-39 габарит 3 630А IEK,шт,1,16.0,1399.9
44121,DPP10D-DP-160,IEK,Держатель предохранителя ДП-33 габарит 00 160А IEK,шт,1,22699.0,282.37
62741,MHL-70-4200-RX7S,IEK,Лампа металлогалогенная ДРИ 70Вт 4200К RX7s MHN-TD IEK,шт,11,,76.79
44450,LPI02-1-0150-K01,IEK,Прожектор галогенный ИО150Д (детектор) IP54 белый IEK,шт,13,,1335.84
53497,MAD12-2-016-C-030,IEK,Дифференциальный автоматический выключатель АД12М 2Р С16 30мА IEK,шт,2,6779.0,1118.66
61970,CKK-40D-SB60-K01,IEK,Соединитель на стык боковой h= 60мм IEK,шт,15,3465.0,22.82
44283,IPA10-6-0200-E,IEK,"Амперметр аналоговый Э47 200/5А класс точности 1,5 72х72мм IEK",шт,3,766.0,1318.87
61925,UTE10-D2-6-100,IEK,"Наконечник-гильза НГИ2 1,5-12 с изолированным фланцем (красный) (100шт) IEK",упак,10,2566.0,157.29
26295,MDV10-4-100-100,IEK,Выключатель дифференциальный (УЗО) ВД1-63 4Р100А 100мА IEK,шт,1,656.0,2375.57
64757,BLS30-ALTE-K05,IEK,Лампа AL-22TE сигнальная d=22мм желтый неон/240В цилиндр IEK,шт,1,2.0,152.47
38233,UTE10-D75-100,IEK,"Наконечник-гильза НГИ2 0,75-8 с изолированным фланцем (темно-красный) (100шт) IEK",упак,24,3626.0,94.51
267,CTA10D-GIG40-K41-020,ЭЛЕКТРОМЕХАНИКА,D 40 (ИЭК),шт,20,,27.17
61316,BCS13-025-1,IEK,"Переключатель кулачковый ПКП25-13/О 25А ""0-1"" 3Р/400В IEK",шт,3,295.0,1403.92
37653,MAD10-2-006-C-010,IEK,Дифференциальный автоматический выключатель АД12 2Р 6А 10мА IEK,шт,1,926.0,1096.66
35896,CLP1K-200-1,IEK,Крышка на лоток основание 200мм,м,6,23861.0,289.13
35898,CLP1K-400-3,IEK,Крышка на лоток основание 400мм,м,6,20960.0,736.54
43892,LPHO02-150-01-K03,IEK,Прожектор металлогалогенный ГО02-150-01 симметричный 150Вт Rx7s IP65 серый IEK,шт,3,220.0,2010.21
53395,MAD12-2-040-C-030,IEK,Дифференциальный автоматический выключатель АД12М 2Р С40 30мА IEK,шт,1,1361.0,1192.89
53384,MAD22-5-040-C-100,IEK,Автоматический выключатель дифференциального тока АВДТ32 C40 100мА IEK,шт,4,1278.0,1322.33
44775,UMK10-A,IEK,"Маркер кабельный МК1- 2,5мм символ ""А"" (1000шт/упак) IEK",упак,2,63.0,97.46
43696,MVA20-1-D16-C,IEK,"Выключатель автоматический ВА47-29 1Р 1,6А 4,5кА С IEK",шт,12,574.0,245.04
35459,MVA20-4-016-C,IEK,"Выключатель автоматический ВА47-29 4Р 16А 4,5кА С IEK",шт,42,1322.0,958.89
35893,CLP1K-050-1,IEK,Крышка на лоток основание 50мм,м,78,64515.0,132.41
43542,SVA50D-DK-1,IEK,Дополнительный контакт ДК-630/800/1600 А IEK,шт,3,269.0,923.5
10321,MVA20-3-010-D,IEK,"Выключатель автоматический ВА47-29 3Р 10А 4,5кА D IEK",шт,15,3210.0,702.77
37722,MVA20-2-004-B,IEK,"Выключатель автоматический ВА47-29 2Р 4А 4,5кА В IEK",шт,1,64.0,447.56
52697,UHH36-5-10-100,IEK,Дюбель-хомут 5-10мм нейлон черный (100шт) IEK,упак,1,10602.0,113.51
52951,MAD22-6-032-C-30,IEK,Автоматический выключатель дифференциального тока АВДТ34 C32 30мА IEK,шт,4,3038.0,1617.58
43846,MVA20-2-032-B,IEK,"Выключатель автоматический ВА47-29 2Р 32А 4,5кА В IEK",шт,2,338.0,392.28
42117,KKM11-018-036-10,IEK,Контактор КМИ-11810 18А 36В/АС3 1НО IEK,шт,1,240.0,975.83
52168,MVA40-1-032-C,IEK,Выключатель автоматический ВА47-100 1Р 32А 10кА С IEK,шт,6,713.0,716.98
39445,UTE10-D3-3-100,IEK,"Наконечник-гильза НГИ2 2,5-12 с изолированным фланцем (синий) (100шт) IEK",упак,1,2198.0,229.14
